REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_normal_euclidean,LRP__gausian_small_normal_euclidean,Same_Classification__gausian_small_normal,REVEAL__small_uniform_euclidean,LRP__small_uniform_euclidean,Same_Classification__small_uniform,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform,REVEAL__gausian_big_normal_euclidean,LRP__gausian_big_normal_euclidean,Same_Classification__gausian_big_normal
,,,0.0005634552389086,0.0004367252229359,True,,,,,,,,,
,,,,,,0.0003409659892786,0.000601209263351,True,,,,,,
,,,,,,,,,0.0046892301484033,0.0080327144096039,False,,,
,,,,,,,,,,,,0.0008281650119378,0.002725224073263,True
0.000812917171448,0.0008821404762451,True,,,,,,,,,,,,
,,,6.011746344282708e-05,0.0004475032002387,False,,,,,,,,,
,,,,,,0.0002693949005154,0.0023286748951041,True,,,,,,
,,,,,,,,,0.0021787234133046,0.0055702659393531,False,,,
,,,,,,,,,,,,0.0006693958728361,0.0026296223267141,False
0.0003901318944066,0.0012977759624112,True,,,,,,,,,,,,
,,,0.0005408990513495,0.0004232765832555,True,,,,,,,,,
,,,,,,0.0009889792349839,0.0020570080807651,True,,,,,,
,,,,,,,,,0.001490286069724,0.0066709177192049,False,,,
,,,,,,,,,,,,0.0049725282524828,0.0029441271891864,True
0.0006924371744717,0.0015918695561455,True,,,,,,,,,,,,
,,,0.0003245995736678,0.0005122433859583,True,,,,,,,,,
,,,,,,0.0002563971849115,0.0008237626586008,True,,,,,,
,,,,,,,,,0.0019708560235914,0.0069940790697726,False,,,
,,,,,,,,,,,,0.0012306353721858,0.0030087010033174,True
0.0006853336941209,0.0020469268061369,False,,,,,,,,,,,,
,,,0.0005981987814916,0.0006151214947783,True,,,,,,,,,
,,,,,,0.0006081695104744,0.0009605085829756,True,,,,,,
,,,,,,,,,0.0011723467086079,0.0067821754790712,False,,,
,,,,,,,,,,,,0.0018782424035065,0.0035187566957368,False
0.0002976770548623,0.0023935624354012,False,,,,,,,,,,,,
,,,0.0005400811864326,0.0005638440860821,True,,,,,,,,,
,,,,,,0.0010966655169809,0.0016842891894075,False,,,,,,
,,,,,,,,,0.0048490798790895,0.0086494336707519,False,,,
,,,,,,,,,,,,0.0022748824015567,0.0037560434352436,False
0.0003001331764631,0.0007534888228775,True,,,,,,,,,,,,
,,,0.0004906673889461,0.0005029190031662,True,,,,,,,,,
,,,,,,0.0004430361517625,0.0009603378890365,True,,,,,,
,,,,,,,,,0.0021871781454426,0.0076862631405245,False,,,
,,,,,,,,,,,,0.0017771866496939,0.002966733136972,True
0.0003593048407964,0.0014515509934936,True,,,,,,,,,,,,
,,,0.0003343487930348,0.0006943112139034,True,,,,,,,,,
,,,,,,0.0003488281371327,0.0015271303782418,True,,,,,,
,,,,,,,,,0.0030608773748633,0.0063735552570692,True,,,
,,,,,,,,,,,,0.0017444995948651,0.0034151218333266,True
0.0002186030321931,0.0015925046415196,True,,,,,,,,,,,,
,,,0.0003220733753822,0.0005714096447134,True,,,,,,,,,
,,,,,,0.0003986259107855,0.0007885892249435,True,,,,,,
,,,,,,,,,0.0017816761724318,0.0086685136809789,False,,,
,,,,,,,,,,,,0.0005196671045762,0.0047645164275466,True
0.0006165042925064,0.0010893352868606,True,,,,,,,,,,,,
,,,0.0007234957456914,0.0004559820198696,True,,,,,,,,,
,,,,,,0.0019728110535653,0.0012517148411248,True,,,,,,
,,,,,,,,,0.0030932622708469,0.0068062072374228,False,,,
,,,,,,,,,,,,0.0018786640853843,0.002731977118052,True
0.0008778231789178,0.0020205870320099,True,,,,,,,,,,,,
,,,0.0004453013354623,0.0004251868810575,True,,,,,,,,,
