REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_normal_euclidean,LRP__gausian_small_normal_euclidean,Same_Classification__gausian_small_normal,REVEAL__small_uniform_euclidean,LRP__small_uniform_euclidean,Same_Classification__small_uniform,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform,REVEAL__gausian_big_normal_euclidean,LRP__gausian_big_normal_euclidean,Same_Classification__gausian_big_normal
0.0004891745953514,0.0017230561348571,True,,,,,,,,,,,,
,,,0.0004887904270715,0.0006138552933211,True,,,,,,,,,
,,,,,,0.0007752419555304,0.0007361015542902,True,,,,,,
,,,,,,,,,0.0017747603695892,0.0050334960679987,True,,,
,,,,,,,,,,,,0.000871642573817,0.0036851959271008,True
0.0075898913333625,0.0017941530270421,True,,,,,,,,,,,,
,,,0.0038508379576155,0.0003391680948932,True,,,,,,,,,
,,,,,,0.007194600831991,0.0009850249878554,True,,,,,,
,,,,,,,,,0.0058364058386303,0.0077126701813157,False,,,
,,,,,,,,,,,,0.0165883498643714,0.0028368667833943,True
0.0013647414980738,0.0008923370727145,True,,,,,,,,,,,,
,,,0.0014103703302419,0.0005232342148806,True,,,,,,,,,
,,,,,,0.0007496883467086,0.000585020105389,True,,,,,,
,,,,,,,,,0.0029439729629345,0.0057761332955827,False,,,
,,,,,,,,,,,,0.0029115068393863,0.0038332985395341,False
0.0032491910670274,0.0009862990031705,True,,,,,,,,,,,,
,,,0.002396412084298,0.0006370514995909,True,,,,,,,,,
,,,,,,0.0030849237170139,0.0010844982206438,True,,,,,,
,,,,,,,,,0.0046906306045752,0.0069999125945894,False,,,
,,,,,,,,,,,,0.0039361257964292,0.0032560256588315,True
0.0023545901857205,0.0018857148100544,False,,,,,,,,,,,,
,,,0.0019772882848811,0.0006207289164307,True,,,,,,,,,
,,,,,,0.005156094635923,0.0010183472012862,False,,,,,,
,,,,,,,,,0.0042274815139754,0.0063045221126289,False,,,
,,,,,,,,,,,,0.0066993936298126,0.0033296778227513,False
0.0010794721385641,0.0028545140156853,False,,,,,,,,,,,,
,,,0.0002679771360795,0.0005064238309673,True,,,,,,,,,
,,,,,,0.0004454822808827,0.0015177164042551,True,,,,,,
,,,,,,,,,0.0006290895116158,0.0115787566401178,False,,,
,,,,,,,,,,,,0.0007369321012576,0.0050808506600666,False
0.0015546025827218,0.0024470881863385,True,,,,,,,,,,,,
,,,0.0029744023174635,0.0004934783810709,True,,,,,,,,,
,,,,,,0.0026941128695466,0.0011351986338891,True,,,,,,
,,,,,,,,,0.0031035190923193,0.0078019864063969,False,,,
,,,,,,,,,,,,0.0027675401795625,0.0032775583454359,True
0.0014109357625239,0.0009793981228859,True,,,,,,,,,,,,
,,,0.0011973260711354,0.000551896164069,True,,,,,,,,,
,,,,,,0.0013581847696005,0.0006731848579704,True,,,,,,
,,,,,,,,,0.0030462988287956,0.0049701252775531,False,,,
,,,,,,,,,,,,0.0019272786210734,0.0026747699830761,True
0.0019845461375535,0.0015115647546765,True,,,,,,,,,,,,
,,,0.0016425880201518,0.0006457951431289,True,,,,,,,,,
,,,,,,0.003041659869965,0.0021679195492744,False,,,,,,
,,,,,,,,,0.0036167565376997,0.0079185209350874,False,,,
,,,,,,,,,,,,0.0025913067360479,0.0034566860256708,False
0.0006012030270161,0.000676829680376,True,,,,,,,,,,,,
,,,0.001040061660828,0.0005832263101438,True,,,,,,,,,
,,,,,,0.0015552655204403,0.0021039907403852,True,,,,,,
,,,,,,,,,0.0028573159682104,0.007965915718465,False,,,
,,,,,,,,,,,,0.0008079047136651,0.0033908672691782,True
0.0015612790697669,0.0013184980908387,True,,,,,,,,,,,,
,,,0.000516247038283,0.0006692183443456,True,,,,,,,,,
,,,,,,0.0010520233542098,0.001663752274751,True,,,,,,
,,,,,,,,,0.0029365531844772,0.0062355219342106,False,,,
,,,,,,,,,,,,0.0020048014772239,0.0029691019647455,True
0.0013224905134674,0.0016547978898262,True,,,,,,,,,,,,
,,,0.0010182227355536,0.00039790377716,True,,,,,,,,,
,,,,,,0.0014682402954406,0.0015443793536427,True,,,,,,
,,,,,,,,,0.0041691032217438,0.0076987393941189,False,,,
,,,,,,,,,,,,0.0016827705948028,0.0029478687617522,True
0.0010482807992539,0.001523300563428,True,,,,,,,,,,,,
,,,0.0015023773194661,0.0005266599388616,True,,,,,,,,,
,,,,,,0.0011354006510341,0.0008771956187353,True,,,,,,
,,,,,,,,,0.0030747971005663,0.0085121370884995,False,,,
,,,,,,,,,,,,0.001172362676051,0.0035414781204828,True
0.0035457133593164,0.0011746239857828,True,,,,,,,,,,,,
,,,0.0019241061250653,0.0004180270386755,True,,,,,,,,,
,,,,,,0.0022386739390111,0.0012800323320691,True,,,,,,
,,,,,,,,,0.0037903555258396,0.0070752247456425,False,,,
,,,,,,,,,,,,0.0051558109995888,0.0031382541882088,True
0.0006963742558368,0.0015217586573652,True,,,,,,,,,,,,
,,,0.0002337779264076,0.0003483652961575,True,,,,,,,,,
,,,,,,0.0004266184232156,0.0006362157291159,True,,,,,,
,,,,,,,,,0.0052598585394551,0.0054788624236379,True,,,
,,,,,,,,,,,,0.0008647785151945,0.0031551254384203,True
0.0015279334034894,0.0013011963455385,True,,,,,,,,,,,,
,,,0.0006087866918717,0.0004367313360278,True,,,,,,,,,
,,,,,,0.0013007396190361,0.0006012396792147,True,,,,,,
,,,,,,,,,0.005468762758958621,0.008032715572819975,False,,,
