REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_normal_euclidean,LRP__gausian_small_normal_euclidean,Same_Classification__gausian_small_normal,REVEAL__small_uniform_euclidean,LRP__small_uniform_euclidean,Same_Classification__small_uniform,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform,REVEAL__gausian_big_normal_euclidean,LRP__gausian_big_normal_euclidean,Same_Classification__gausian_big_normal
0.0007999927137388,0.001722941466161,True,,,,,,,,,,,,
,,,0.0004417995361394,0.0006139291600378,True,,,,,,,,,
,,,,,,2.952265544091973e-05,0.0007361427177454,True,,,,,,
,,,,,,,,,0.0021084209194255,0.0050338332596765,True,,,
,,,,,,,,,,,,0.0003656773806205,0.0036850990883942,True
0.0023707556822609,0.0017940006928719,True,,,,,,,,,,,,
,,,0.0009082499427035,0.0003390842208705,True,,,,,,,,,
,,,,,,0.0018241501109862,0.0009851414511233,True,,,,,,
,,,,,,,,,0.0144702247516331,0.0077123808476118,False,,,
,,,,,,,,,,,,0.011624361029799,0.0028368624650678,True
0.0003623350159111,0.0008921805859327,True,,,,,,,,,,,,
,,,0.0001525280279654,0.0005231627582319,True,,,,,,,,,
,,,,,,0.0001817017924351,0.0005849611289653,True,,,,,,
,,,,,,,,,0.002863866453877,0.0057760896856056,False,,,
,,,,,,,,,,,,0.000414259645317,0.0038332969366614,False
0.0010387489202191,0.0009862533772118,True,,,,,,,,,,,,
,,,0.0003715353667469,0.000637073381965,True,,,,,,,,,
,,,,,,0.000250427541154,0.0010844921265614,True,,,,,,
,,,,,,,,,0.0053032025740916,0.0069997150436911,False,,,
,,,,,,,,,,,,0.0024885460490781,0.0032560564435603,True
0.0016124889025793,0.0018851982391069,False,,,,,,,,,,,,
,,,0.0007551594567241,0.0006207036989739,True,,,,,,,,,
,,,,,,0.0013363163799741,0.0010185513130473,False,,,,,,
,,,,,,,,,0.0043157311363091,0.0063041359013958,False,,,
