REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform
2.757225913048572e-06,1.2101291411536374e-06,True,,,
,,,1.276315518235424e-05,9.44387144804914e-06,False
1.04755074065129e-05,1.977158738751364e-06,True,,,
,,,2.3022306109215884e-05,1.4403501993311712e-05,False
3.284946568270716e-06,1.634876082352314e-06,True,,,
,,,7.96826695224333e-06,8.334572567544399e-06,False
9.574419500184935e-07,1.0900531190847948e-06,True,,,
,,,9.083983902344727e-06,1.1470366025254951e-05,False
1.2426809835216613e-06,7.453592351811336e-07,True,,,
,,,2.472020020149608e-06,5.241973717344392e-06,True
8.826276258118878e-07,1.7506321990556198e-06,True,,,
,,,6.626210941986373e-06,8.35888956271144e-06,False
4.01311103654833e-07,1.112642428351876e-06,True,,,
,,,1.1602343217034617e-05,1.0138811987310975e-05,False
7.698949029537687e-07,1.515793819938105e-06,False,,,
,,,1.2016925216791556e-05,1.3335329391898814e-05,False
2.0828244047422505e-06,1.6131926321596164e-06,True,,,
,,,1.3490949599465345e-05,9.84094512785169e-06,False
7.540145757800325e-07,1.3488641314103245e-06,True,,,
,,,1.0941304794602388e-05,1.0488328522530164e-05,False
1.2700317790197836e-06,1.727638124112697e-06,True,,,
,,,3.930154750447092e-06,6.393376110791511e-06,True
3.676868588334202e-06,1.8406212826163856e-06,True,,,
,,,9.355698666478492e-06,8.197950805208732e-06,False
2.710129468961613e-06,1.957900491275644e-06,True,,,
,,,1.7742952157978682e-06,7.862865900339348e-06,False
1.911932995371749e-06,1.23468295089116e-06,True,,,
,,,4.215323889768144e-06,9.723207767146447e-06,False
1.399713583161379e-06,1.34294510650629e-06,True,,,
,,,9.43764942288817e-06,8.869031302939595e-06,False
8.541136448416178e-07,1.0202027338974164e-06,True,,,
,,,1.1051412965700893e-05,1.2314292031536588e-05,False
1.1233367699209183e-06,1.5530942682382174e-06,True,,,
,,,5.517967029399005e-07,7.698482369192298e-06,False
5.774780729840907e-06,1.339446171009964e-06,True,,,
,,,2.938747987355877e-05,1.1954152101498e-05,False
2.965046782744538e-07,1.6317968938983246e-06,True,,,
,,,7.664522960402255e-06,9.18586111767507e-06,False
1.575822443454848e-06,1.8263812472228697e-06,False,,,
,,,8.482410565699142e-06,8.562169037828872e-06,False
2.930692898268777e-06,1.532499639241632e-06,True,,,
,,,1.4353000296144365e-05,1.116171568658215e-05,False
7.776019499523702e-07,1.388282426583532e-06,True,,,
,,,8.200342646889745e-06,1.0182220210189898e-05,False
1.4111558163490305e-06,4.379428986817749e-07,True,,,
,,,1.943005041391508e-06,4.802742821705839e-06,False
2.9304867861836514e-06,1.954846810640815e-06,True,,,
,,,4.766453736405581e-06,8.971112561692817e-06,False
5.203121159828089e-07,1.4301158613628383e-06,True,,,
,,,1.2516859762928291e-05,1.042191259718369e-05,False
2.100378834093655e-06,1.404596707205955e-06,True,,,
,,,7.669887406074742e-06,7.026781485013654e-06,False
2.8148092228121982e-06,1.6058036496125983e-06,True,,,
,,,5.3181026378663335e-06,8.791770668325678e-06,False
2.244339039476765e-06,1.612154486009148e-06,False,,,
,,,5.563813647422778e-06,1.293622570503934e-05,False
1.2611553020392684e-06,1.4406923039462889e-06,True,,,
,,,2.1044795340406165e-06,1.7910751709465612e-05,False
2.342146858298709e-06,1.3333254888936686e-06,True,,,
,,,1.649737950429392e-05,1.2463122750744982e-05,False
2.193899055921683e-06,2.546816431558118e-06,False,,,
,,,1.0592429584675876e-05,1.4916861560710887e-05,False
2.415384122196977e-06,1.5851816805320272e-06,True,,,
,,,1.4181404147926698e-05,1.171005872053831e-05,False
1.1157435942457263e-06,1.2851139128783506e-06,True,,,
,,,7.494803375880739e-06,9.308654652330986e-06,False
5.531706633556407e-06,1.902650737832611e-06,True,,,
,,,2.1318620534095985e-05,9.479170972615872e-06,False
1.2875245952712535e-06,1.1299518444870586e-06,True,,,
,,,1.0782944524097818e-05,1.4505880662007089e-05,False
1.2127279570446625e-06,9.691860638160522e-07,True,,,
,,,9.318995162573064e-06,1.401526523395452e-05,False
4.657517475966754e-06,1.961551177540553e-06,True,,,
,,,1.1784782297256276e-05,9.998744931966716e-06,False
7.256006672572643e-07,1.2828403308970492e-06,True,,,
,,,1.203881828555816e-05,9.338102393550122e-06,False
1.303352989737911e-06,2.346351630728817e-06,True,,,
,,,7.680194789214773e-06,1.2013100346690374e-05,False
1.607285079417872e-06,1.3510377306564174e-06,True,,,
,,,1.1145715133001996e-05,1.2029496256213068e-05,False
1.2596822611833766e-06,1.6510256336719911e-06,True,,,
,,,1.268954587042498e-05,9.178216343384633e-06,False
1.6589545413222563e-06,1.4579103475897672e-06,True,,,
,,,7.119015958388717e-06,1.3263805073924216e-05,False
1.115408130126492e-06,1.3148394272505744e-06,True,,,
,,,9.754051746602126e-06,1.1512834130777788e-05,False
2.544172896147917e-06,3.329946491165803e-06,False,,,
,,,1.1114947026917666e-05,1.2450221456748258e-05,False
6.422003818785203e-07,6.025031909827848e-07,True,,,
,,,1.2881370254688362e-05,1.2122892551582528e-05,False
1.0701775719474618e-06,1.1862690066881706e-06,True,,,
,,,6.069247608170771e-06,7.074514100295205e-06,False
9.90420274946725e-07,1.2978101086696815e-06,True,,,
,,,1.5419188831041294e-06,6.790734081350328e-06,False
7.538052933482962e-06,1.532949837664846e-06,True,,,
,,,1.2105787985060864e-05,1.1883777550984048e-05,False
4.619317830300252e-07,1.71508282425789e-06,True,,,
,,,8.88229372748394e-06,8.505372096551868e-06,False
1.420762700778049e-06,6.237930908575624e-07,True,,,
,,,3.3411125839062207e-06,6.339726935900083e-06,False
3.080413198021728e-06,1.4901707629792251e-06,True,,,
,,,6.1908489817737246e-06,6.162945445935842e-06,True
1.941927836102307e-06,1.8282093460384108e-06,True,,,
,,,1.1649521384380483e-05,1.3044559296245416e-05,False
2.6149856568922675e-06,1.3202682931907458e-06,True,,,
,,,6.25826573310445e-06,7.491419297327144e-06,False
4.413821123270137e-06,1.846535422316583e-06,False,,,
,,,2.471704871273337e-05,9.583227029964704e-06,False
8.626922602179692e-06,3.687425951408136e-06,False,,,
,,,9.108456393658244e-06,8.072700971711582e-06,False
2.9367656428623537e-06,1.053039431149175e-06,True,,,
,,,1.257048149228159e-05,1.0027918123559585e-05,False
2.293663771097292e-06,1.9369449886053755e-06,True,,,
,,,2.001504772925825e-06,9.382982397676387e-06,False
1.0496394444563102e-06,1.1225214346067198e-06,False,,,
,,,8.806959706471404e-06,1.0896080556543709e-05,False
6.492954712067972e-07,1.2278718337859086e-06,True,,,
,,,1.2102728456853915e-05,1.0505087606190072e-05,False
1.2480940902997488e-06,7.951321587272585e-07,True,,,
,,,1.2014735698494649e-05,1.2455247888486664e-05,False
1.2013972565276728e-06,1.764364729949568e-06,True,,,
,,,1.2156753665866535e-05,1.5647771478603678e-05,False
3.9769257048351337e-07,8.202981374646682e-07,True,,,
,,,2.004287740517484e-06,8.886132653810113e-06,False
1.9428869873769987e-06,1.885271091138968e-06,True,,,
,,,9.211941408575586e-06,1.0604774887193537e-05,False
2.509542106223852e-06,1.790323526111305e-06,True,,,
,,,6.751689365137231e-06,9.52359850606572e-06,False
