REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_normal_euclidean,LRP__gausian_small_normal_euclidean,Same_Classification__gausian_small_normal,REVEAL__small_uniform_euclidean,LRP__small_uniform_euclidean,Same_Classification__small_uniform,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform,REVEAL__gausian_big_normal_euclidean,LRP__gausian_big_normal_euclidean,Same_Classification__gausian_big_normal,REVEAL__big_blur_euclidean,LRP__big_blur_euclidean,Same_Classification__big_blur
0.0006311172235357,0.001722742896743,True,,,,,,,,,,,,,,,
,,,0.0001964569593207,0.0006139279451303,True,,,,,,,,,,,,
,,,,,,0.0003064899371728,0.0007361702999004,True,,,,,,,,,
,,,,,,,,,0.0023145594518535,0.0050338350920077,True,,,,,,
,,,,,,,,,,,,0.0006195379037737,0.003685099503066,True,,,
,,,,,,,,,,,,,,,0.0002033928677507,0.0052487134389403,True
0.000903661305139,0.0017942209298067,True,,,,,,,,,,,,,,,
,,,0.0008773193077129,0.0003391433519605,True,,,,,,,,,,,,
,,,,,,0.000502967256988,0.0009852654881708,True,,,,,,,,,
,,,,,,,,,0.0037982488056772,0.0077126709446784,False,,,,,,
,,,,,,,,,,,,0.0013171137546574,0.002836867207071,True,,,
,,,,,,,,,,,,,,,0.0025056881445873,0.004354460747117,False
0.0003441458067192,0.0008922313953516,True,,,,,,,,,,,,,,,
,,,0.0001774254102929,0.0005232676361361,True,,,,,,,,,,,,
,,,,,,0.0001702970055442,0.0005849611814741,True,,,,,,,,,
,,,,,,,,,0.0026257123111728,0.0057763745367864,False,,,,,,
,,,,,,,,,,,,0.0004586845176776,0.0038333253168236,False,,,
,,,,,,,,,,,,,,,0.0014324526336802,0.0026750650553614,True
0.0008260141575776,0.0009862521335011,True,,,,,,,,,,,,,,,
,,,0.0002884890790455,0.0006370811504612,True,,,,,,,,,,,,
,,,,,,0.0002349398348281,0.0010844886548745,True,,,,,,,,,
,,,,,,,,,0.0019222058107274,0.0069998326653092,False,,,,,,
