REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform
0.1117869685004311,0.2123033560765817,True,,,
,,,0.8492302917718718,0.7574039429441829,True
0.3121904041412718,0.2864410049322934,True,,,
,,,1.1083429754988323,1.45415741197348,False
0.1049738724537391,0.1537893256402086,True,,,
,,,0.7381932703131859,0.9372871816918864,False
0.2962806321326298,0.1676905839941202,True,,,
,,,0.5893656079172906,1.2495363635080852,False
0.0988564599712241,0.3222798726746221,False,,,
,,,1.1214958611875152,1.1886009590862927,False
0.2511247597012713,0.3452004309144799,False,,,
,,,0.2591759135115192,1.3798452141337685,False
0.2283016268296255,0.4590449097215884,True,,,
,,,0.9647023611062754,1.6703348415010435,False
0.1808031821344517,0.1834075821112944,True,,,
,,,1.4842707696107271,1.0843869101423058,False
0.1282506433066228,0.2070840193993046,True,,,
,,,0.901863428901367,1.301757146264774,False
0.0410932092819911,0.1367448747566141,True,,,
,,,1.2078841101984998,1.5915083124894174,False
0.1048791227223505,0.2640100703387939,True,,,
,,,0.8174600111537562,1.272895132114352,False
0.1461152481544437,0.2792774014106958,True,,,
,,,1.1166880235216456,1.533359537883551,False
0.0926112556591024,0.1952664531985689,True,,,
,,,1.078188284682733,1.345595165245122,False
0.0649563275179338,0.2099187590946155,True,,,
,,,0.9317287312582808,1.4378104618330068,False
0.1501233316212299,0.2009103155533776,True,,,
,,,0.5048187198949996,0.8864794110655811,True
0.2794507224181388,0.2700494670205455,True,,,
,,,1.620168970833079,2.0728368129354378,False
0.2708106534341251,0.1873069819675368,True,,,
,,,0.7740149869330503,1.3276415720203592,False
0.1331469207728327,0.2219695016214823,True,,,
,,,0.950354341484883,1.7435780192462556,False
0.1018705651584344,0.1792122699337384,True,,,
,,,0.4181354643428787,1.2284721406041292,False
0.212098408983481,0.2478629896819309,True,,,
,,,0.6136866096492405,1.2963579481908796,False
0.1712854791578693,0.3619211228019288,False,,,
,,,0.3335291167084207,1.237178410855444,False
0.0445739679857999,0.325489100648187,False,,,
,,,1.587210818008384,1.4214452178332968,False
0.1283240358236274,0.1069156545230525,True,,,
,,,0.8049876801968655,1.1404120385346697,False
0.1088569618049023,0.2464523728214483,True,,,
,,,0.957438460513068,1.1245073972241109,True
0.0292999583834726,0.2261055226045168,True,,,
,,,0.5869781196968801,1.2557217314696,False
0.1698195169647399,0.1854480535971603,True,,,
,,,0.7757912560200942,1.5123206545680887,False
0.2722997660986846,0.2637579963327419,True,,,
,,,0.5683253642280988,0.9977382724127936,False
0.2128644931757685,0.1654872791480209,True,,,
,,,0.8544492226802983,1.5758711679518025,False
0.1869298485854526,0.2179319143858702,True,,,
,,,1.1833362269533785,1.6857337369994905,False
0.3109824827316191,0.2098102591356684,True,,,
,,,0.4395072069834149,0.843693919622769,False
0.3177694561895772,0.2047572482571117,True,,,
,,,1.8427162967105948,1.6473077140625725,False
0.2919792999516678,0.1764275145986576,True,,,
,,,1.378534288175373,1.6167426787876955,False
0.2013225704509023,0.2632949022785422,True,,,
,,,0.2222829083067049,1.3860191935875077,False
0.203090575553439,0.2441438266546091,True,,,
,,,0.8339054337049686,1.0764739500791178,False
0.1976549277785882,0.0930121565838565,True,,,
,,,0.4520384145753305,0.9782756151754428,False
0.2486186431001549,0.2916864306364487,True,,,
,,,1.5167514529652597,1.5061937480564869,False
0.1340574934942402,0.2022079318974587,True,,,
,,,1.0718323888759305,1.2126045966921175,False
0.4034492055872514,0.2157748508500348,False,,,
,,,0.4943902931956711,1.669427627816327,False
0.3768152948833556,0.3942219951206657,False,,,
,,,0.7273366837330452,1.4300709854175613,False
0.2306892098105971,0.2424031327200832,True,,,
,,,1.4918510754403207,1.9337500643649204,False
0.2809781986769702,0.226394462706891,False,,,
,,,0.5921618917992433,1.2351880537354676,False
0.1801195731489277,0.1977619817646756,True,,,
,,,1.3732821590068076,1.6823517503002667,False
0.0691073870627658,0.184071103462449,True,,,
,,,1.4871638125747586,2.1131563207621147,False
0.1404042003384966,0.3173109707178214,False,,,
,,,0.9320432160651002,0.9889822871087316,True
0.1489828956573964,0.2444809467844129,True,,,
,,,1.4524186628866995,1.7486784668825663,False
0.3071679664939343,0.2111285401975564,False,,,
,,,1.0349242023077043,1.3987190162215537,False
0.1746414667593843,0.2495499765017627,True,,,
,,,1.0395656165647842,1.1401617000918904,True
0.2238839586043467,0.1716160064265186,True,,,
,,,0.7727412782007603,1.36748064972396,False
0.2923233951453419,0.2184550115745345,True,,,
,,,0.8461558656326436,1.1753856528571838,False
0.2540210380801045,0.2637327010528972,True,,,
,,,0.4169407251264035,1.1908691829547533,False
0.3317506133172948,0.2734247859851335,True,,,
,,,1.408306817779488,1.9233043756580404,False
0.2458533606788981,0.1334609299242359,True,,,
,,,0.9910882197290412,1.2096061373483444,True
0.1475783206381662,0.1785321894224979,True,,,
,,,0.355124438948447,1.1847657562632563,False
0.2135456541361652,0.1952611474477222,True,,,
,,,1.085813742647981,1.178764989226019,False
0.1503059734743661,0.1356971257511672,True,,,
,,,0.8933994272385292,1.1684335970962234,False
0.0972807499699842,0.2042768316745878,True,,,
,,,1.8195096852543364,1.6420801947476455,False
0.3053433503042618,0.1821245816167643,True,,,
,,,1.4325488745759836,1.42153334375072,False
0.552714778044571,0.297608984345733,True,,,
,,,1.2268495531448724,2.1681701933009463,False
0.3361225389985971,0.2461671690226742,True,,,
,,,0.7420769798564458,1.2546922062212988,False
0.1410271905104702,0.1640902985476007,True,,,
,,,1.2545996933613974,1.726553192471764,False
0.1595549375814266,0.1121028153686716,True,,,
,,,0.3209797681130023,0.7890651819036295,True
0.1056535442686064,0.2635262342256555,True,,,
,,,0.8115646518114512,1.258207839122518,False
0.0592740341541677,0.1674834016225222,True,,,
,,,1.7745124271889263,1.526182337284075,False
0.1839602404742546,0.2281728682641392,False,,,
,,,1.793464333752496,2.0073406898237383,False
0.265667038812849,0.2428399739209956,True,,,
,,,1.758143288500264,1.4813271890141648,False
0.0957071252727684,0.203037863738615,True,,,
,,,1.5779805962312028,1.5787820256519782,False
0.1991401716738417,0.260057080117768,True,,,
,,,0.6121955568277868,0.9624039082005428,True
0.3788116154099635,0.2770650038613333,True,,,
,,,0.9532287548541322,1.2340452026545103,False
0.3635517160869535,0.2947189104682093,True,,,
,,,0.259298202744414,1.183585435543642,False
0.2900968480914216,0.1858446769670807,True,,,
,,,0.6084463415816806,1.4636351878929537,False
0.1427234744838081,0.2021344029355219,True,,,
,,,0.9914334379464772,1.33505754234396,False
0.1163319775577611,0.1535696048228652,True,,,
,,,1.667835377025055,1.8536961772151408,False
0.2247915111401154,0.2337861791917389,True,,,
,,,0.0961044417727667,1.1588060320808458,False
0.3369722814704611,0.2016281687178695,True,,,
,,,1.7123648366984792,1.7993771532450669,False
0.0642388629837275,0.2456489832767117,True,,,
,,,1.166692512220293,1.3827253746818096,False
0.1451133360570369,0.2749131354183838,False,,,
,,,0.7915058099747724,1.288864828338696,False
0.0617190603832322,0.2306960939107147,True,,,
,,,1.7705498999689522,1.6801460445916103,False
0.143809732501471,0.2089914935625359,True,,,
,,,1.1823808092051469,1.5326791707974232,False
0.1519207290725134,0.0659504560122299,True,,,
,,,0.2573299809892336,0.72296976127927,False
0.3991523828494727,0.294332076944905,True,,,
,,,0.7071470023918118,1.3504676792565993,False
0.0595565051188627,0.2152615280194967,True,,,
,,,1.6458105570505284,1.5687414884317783,False
0.312719782956336,0.2114782367657368,True,,,
,,,1.0038374201293396,1.0577048740990889,False
